row,column,slot,artist,title
1,1,1,Daft Punk,Discovery
1,1,2,Nirvana,Nevermind
1,1,3,Pink Floyd,The Dark Side of the Moon
1,2,1,Miles Davis,Kind of Blue
1,2,2,MF DOOM,Madvillainy
2,1,1,Radiohead,OK Computer
2,1,2,Kanye West,Graduation
2,2,1,The Beatles,Abbey Road
2,2,2,Tyler The Creator,IGOR
